time,p1,p2,p3,v1,v2,v3,r11,r12,r13,r11,r12,r13,r11,r12,r13,omega1,omega2,omega3,
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994960,-0.099346,0.013624,0.100198,0.990317,-0.096086,-0.003946,0.096967,0.995280,0.969984,0.088283,1.002597,
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.979696,-0.195487,0.044508,0.200377,0.962161,-0.184649,-0.006728,0.189818,0.981796,0.925578,0.169056,1.009637,
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.954000,-0.285797,0.090574,0.299695,0.917317,-0.262130,-0.008169,0.277216,0.960773,0.868682,0.239556,1.020545,
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.917710,-0.368183,0.149166,0.397170,0.858020,-0.325666,-0.008083,0.358111,0.933644,0.801707,0.297566,1.034596,
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870757,-0.441126,0.217233,0.491673,0.786764,-0.373176,-0.006293,0.431753,0.901970,0.727417,0.341507,1.050967,
0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.813217,-0.503688,0.291506,0.581954,0.706124,-0.403382,-0.002661,0.497681,0.867356,0.648761,0.370481,1.068788,
0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.745347,-0.555461,0.368675,0.666670,0.618596,-0.415800,0.002900,0.555700,0.831378,0.568712,0.384262,1.087190,
0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.667614,-0.596487,0.445527,0.744435,0.526467,-0.410670,0.010404,0.605835,0.795522,0.490119,0.383254,1.105346,
0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580710,-0.627164,0.519077,0.813870,0.431728,-0.388879,0.019791,0.648287,0.761139,0.415598,0.368412,1.122503,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.485554,-0.648136,0.586650,0.873660,0.336030,-0.351855,0.030918,0.683377,0.729411,0.347433,0.341147,1.138010,
1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.383278,-0.660185,0.645951,0.922605,0.240661,-0.301468,0.043569,0.711504,0.701330,0.287527,0.303228,1.151331,
