time,omega1,omega2,omega3,rotation11,rotation12,rotation13,rotation21,rotation22,rotation23,rotation31,rotation32,rotation33,ell1,ell2,ell3,energy,
0.000000,1.000000,0.000000,10.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,5.000000,0.000000,130.000000,652.500000,
0.010000,0.997601,0.079936,9.999846,0.995004,-0.099830,0.000898,0.099834,0.994954,-0.009949,0.000100,0.009989,0.999950,5.000000,-0.000001,130.000000,652.500000,
0.020000,0.990416,0.159485,9.999389,0.980066,-0.198641,0.003565,0.198673,0.979870,-0.019590,0.000398,0.019908,0.999802,5.000000,-0.000003,130.000000,652.500000,
0.030000,0.978480,0.238265,9.998635,0.955332,-0.295427,0.007924,0.295532,0.954904,-0.028627,0.000890,0.029691,0.999559,5.000001,-0.000004,130.000000,652.500000,
0.040000,0.961851,0.315895,9.997601,0.921048,-0.389203,0.013849,0.389446,0.920315,-0.036779,0.001569,0.039269,0.999227,5.000002,-0.000005,130.000000,652.500000,
0.050000,0.940612,0.392001,9.996305,0.877551,-0.479015,0.021166,0.479476,0.876461,-0.043791,0.002425,0.048578,0.998816,5.000002,-0.000006,130.000000,652.500000,
0.060000,0.914867,0.466217,9.994774,0.825273,-0.563955,0.029663,0.564724,0.823798,-0.049441,0.003446,0.057553,0.998336,5.000004,-0.000007,130.000000,652.500000,
0.070000,0.884741,0.538186,9.993035,0.764729,-0.643164,0.039093,0.644335,0.762867,-0.053545,0.004616,0.066136,0.997800,5.000005,-0.000007,130.000000,652.500000,
0.080000,0.850382,0.607564,9.991123,0.696522,-0.715848,0.049180,0.717511,0.694295,-0.055966,0.005918,0.074268,0.997221,5.000006,-0.000008,130.000000,652.499999,
0.090000,0.811957,0.674018,9.989073,0.621327,-0.781279,0.059631,0.783517,0.618786,-0.056613,0.007332,0.081897,0.996614,5.000007,-0.000008,130.000000,652.499999,
0.100000,0.769654,0.737232,9.986926,0.539894,-0.838806,0.070140,0.841687,0.537111,-0.055448,0.008837,0.088972,0.995995,5.000009,-0.000008,129.999999,652.499999,
0.110000,0.723677,0.796904,9.984723,0.453032,-0.887861,0.080401,0.891434,0.450102,-0.052484,0.010409,0.095449,0.995380,5.000010,-0.000007,129.999999,652.499999,
0.120000,0.674248,0.852752,9.982504,0.361609,-0.927965,0.090113,0.932252,0.358639,-0.047785,0.012025,0.101287,0.994785,5.000012,-0.000007,129.999999,652.499999,
0.130000,0.621608,0.904510,9.980314,0.266538,-0.958727,0.098990,0.963727,0.263647,-0.041466,0.013657,0.106452,0.994224,5.000013,-0.000006,129.999999,652.499999,
0.140000,0.566008,0.951935,9.978193,0.168773,-0.979855,0.106771,0.985536,0.166080,-0.033690,0.015278,0.110912,0.993713,5.000014,-0.000005,129.999999,652.499999,
0.150000,0.507716,0.994803,9.976182,0.069293,-0.991150,0.113224,0.997454,0.066917,-0.024657,0.016862,0.114644,0.993263,5.000015,-0.000004,129.999999,652.499998,
0.160000,0.447011,1.032913,9.974320,-0.030902,-0.992514,0.118156,0.999353,-0.032854,-0.014609,0.018381,0.117628,0.992888,5.000015,-0.000003,129.999999,652.499998,
0.170000,0.384183,1.066085,9.972642,-0.130804,-0.983945,0.121417,0.991210,-0.132241,-0.003812,0.019807,0.119851,0.992594,5.000016,-0.000001,129.999999,652.499998,
0.180000,0.319532,1.094166,9.971180,-0.229407,-0.965540,0.122901,0.973101,-0.230257,0.007442,0.021113,0.121303,0.992391,5.000016,0.000000,129.999999,652.499998,
0.190000,0.253365,1.117023,9.969961,-0.325717,-0.937490,0.122558,0.945205,-0.325933,0.018852,0.022272,0.121982,0.992282,5.000016,0.000002,129.999999,652.499998,
0.200000,0.185997,1.134551,9.969009,-0.418761,-0.900082,0.120383,0.907798,-0.418324,0.030108,0.023260,0.121892,0.992271,5.000016,0.000003,129.999999,652.499998,
0.210000,0.117748,1.146668,9.968343,-0.507600,-0.853690,0.116429,0.861257,-0.506520,0.040907,0.024052,0.121039,0.992356,5.000016,0.000005,129.999999,652.499998,
0.220000,0.048941,1.153317,9.967974,-0.591337,-0.798777,0.110794,0.806048,-0.589652,0.050958,0.024626,0.119439,0.992536,5.000015,0.000006,129.999999,652.499998,
0.230000,-0.020098,1.154467,9.967910,-0.669127,-0.735887,0.103628,0.742729,-0.666900,0.059991,0.024963,0.117109,0.992805,5.000014,0.000007,129.999999,652.499998,
0.240000,-0.089041,1.150114,9.968152,-0.740184,-0.665642,0.095119,0.671937,-0.737501,0.067764,0.025044,0.114072,0.993157,5.000013,0.000008,129.999999,652.499998,
0.250000,-0.157563,1.140277,9.968695,-0.803793,-0.588733,0.085498,0.594390,-0.800758,0.074071,0.024855,0.110357,0.993581,5.000012,0.000009,129.999999,652.499998,
0.260000,-0.225338,1.125002,9.969530,-0.859312,-0.505919,0.075024,0.510870,-0.856043,0.078748,0.024384,0.105997,0.994067,5.000011,0.000010,129.999999,652.499998,
0.270000,-0.292045,1.104361,9.970639,-0.906185,-0.418014,0.063981,0.422222,-0.902805,0.081677,0.023621,0.101028,0.994603,5.000009,0.000010,129.999999,652.499998,
0.280000,-0.357368,1.078448,9.972003,-0.943941,-0.325884,0.052669,0.329341,-0.940574,0.082786,0.022561,0.095492,0.995175,5.000008,0.000011,129.999999,652.499998,
0.290000,-0.420995,1.047386,9.973594,-0.972205,-0.230440,0.041395,0.233167,-0.968968,0.082060,0.021200,0.089431,0.995767,5.000006,0.000011,129.999999,652.499998,
0.300000,-0.482623,1.011320,9.975384,-0.990698,-0.132625,0.030464,0.134669,-0.987694,0.079532,0.019541,0.082895,0.996367,5.000005,0.000010,129.999999,652.499998,
